customer_id,last_purchase_date,order_count,total_spent
C001,2026-07-20,15,4500
C002,2026-07-15,12,3800
C003,2026-07-22,3,300
C004,2026-07-18,4,250
C005,2026-01-10,14,4200
C006,2026-02-05,11,3600
C007,2024-03-01,2,150
C008,2024-05-15,1,90
C009,2026-06-01,8,2000
C010,2026-05-20,9,2200
C011,2026-03-15,6,1500
C012,2026-04-01,5,1300
C013,2026-07-25,20,6000
C014,2025-12-01,13,3900
C015,2024-08-20,3,200
C016,2026-07-10,7,1800
C017,2026-02-28,4,400
C018,2026-07-24,2,180
C019,2025-06-10,10,2900
C020,2024-11-11,1,60
