date,product,region,channel,units,discount_pct,revenue
2026-01-05,Widget A,North,Online,12,4.8,240.00
2026-01-06,Widget B,South,Retail,8,3.2,320.00
2026-01-07,Widget A,East,Online,15,6.0,300.00
2026-01-08,Widget C,West,Retail,5,2.0,150.00
2026-01-09,Widget B,North,Online,20,8.0,800.00
2026-01-10,Widget A,South,Retail,10,4.0,200.00
2026-01-11,Widget C,East,Online,7,2.8,210.00
2026-01-12,Widget B,West,Retail,18,7.2,720.00
2026-01-13,Widget A,North,Online,9,3.6,180.00
2026-01-14,Widget C,South,Retail,11,4.4,330.00
2026-01-15,Widget B,East,Online,14,5.6,560.00
2026-01-16,Widget A,West,Retail,6,2.4,120.00
2026-01-17,Widget C,North,Online,13,5.2,390.00
2026-01-18,Widget B,South,Retail,22,8.8,880.00
2026-01-19,Widget A,East,Online,17,6.8,340.00
2026-01-20,Widget C,West,Retail,9,3.6,270.00
2026-01-21,Widget B,North,Online,16,6.4,640.00
2026-01-22,Widget A,South,Retail,8,3.2,160.00
2026-01-23,Widget C,East,Online,10,4.0,300.00
2026-01-24,Widget B,West,Retail,19,7.6,760.00
2026-01-25,Widget A,North,Online,14,5.6,280.00
2026-01-26,Widget C,South,Retail,6,2.4,180.00
2026-01-27,Widget B,East,Online,21,8.4,840.00
2026-01-28,Widget A,West,Retail,11,4.4,220.00
2026-01-29,Widget C,North,Online,8,3.2,240.00
2026-01-30,Widget B,South,Retail,17,6.8,680.00
2026-01-31,Widget A,East,Online,13,5.2,260.00
2026-02-01,Widget C,West,Retail,12,4.8,360.00
2026-02-02,Widget B,North,Online,23,9.2,920.00
2026-02-03,Widget A,South,Retail,7,2.8,140.00
