run,machine,operator,shift,temp_c,pressure_bar,strength,finish_score
1,M1,Ann,Day,70.0,2.06,48.245,12.676
2,M1,Ann,Day,65.8,1.82,49.846,13.268
3,M1,Ann,Day,89.3,3.26,51.85,12.78
4,M1,Ann,Day,81.1,2.45,49.996,13.429
5,M1,Ann,Night,82.4,2.29,52.715,12.712
6,M1,Ann,Night,61.6,2.02,45.553,9.792
7,M1,Ann,Night,75.3,2.79,50.459,11.373
8,M1,Ann,Night,75.3,3.24,48.392,9.885
9,M1,Bo,Day,70.5,2.12,46.418,11.356
10,M1,Bo,Day,87.8,2.38,50.669,13.608
11,M1,Bo,Day,61.2,2.9,46.639,12.894
12,M1,Bo,Day,75.8,3.04,47.639,10.989
13,M1,Bo,Night,60.0,2.82,46.299,9.128
14,M1,Bo,Night,89.0,2.81,51.513,9.88
15,M1,Bo,Night,88.1,3.24,48.534,11.358
16,M1,Bo,Night,60.7,3.13,46.039,10.755
17,M1,Cy,Day,70.6,1.94,47.345,12.116
18,M1,Cy,Day,66.4,2.11,45.943,12.382
19,M1,Cy,Day,83.7,2.98,50.427,11.925
20,M1,Cy,Day,82.2,2.53,48.11,12.795
21,M1,Cy,Night,82.5,1.92,45.798,10.538
22,M1,Cy,Night,73.1,2.69,46.043,10.504
23,M1,Cy,Night,67.5,2.99,46.116,9.145
24,M1,Cy,Night,75.2,1.98,45.561,8.868
25,M1,Dee,Day,69.0,3.05,51.714,12.193
26,M1,Dee,Day,83.0,3.26,50.44,12.762
27,M1,Dee,Day,79.5,2.81,51.679,13.137
28,M1,Dee,Day,72.0,2.5,51.262,12.878
29,M1,Dee,Night,74.5,1.93,51.365,12.065
30,M1,Dee,Night,89.9,3.28,52.606,12.058
31,M1,Dee,Night,79.5,3.3,53.093,11.841
32,M1,Dee,Night,74.3,3.26,50.077,12.214
33,M2,Ann,Day,85.0,2.99,54.236,15.142
34,M2,Ann,Day,76.7,2.85,55.366,14.692
35,M2,Ann,Day,61.3,2.1,52.262,12.457
36,M2,Ann,Day,78.0,2.79,50.765,12.689
37,M2,Ann,Night,66.1,3.1,48.881,10.998
38,M2,Ann,Night,63.8,2.02,46.27,8.351
39,M2,Ann,Night,79.0,3.09,48.736,9.16
40,M2,Ann,Night,89.4,1.83,52.527,10.904
41,M2,Bo,Day,80.3,3.26,49.821,11.864
42,M2,Bo,Day,83.8,2.83,54.986,14.048
43,M2,Bo,Day,75.9,1.92,53.375,12.877
44,M2,Bo,Day,82.2,2.78,51.368,12.943
45,M2,Bo,Night,68.8,1.88,48.761,10.548
46,M2,Bo,Night,81.7,2.59,48.592,12.054
47,M2,Bo,Night,75.7,2.53,47.982,10.502
48,M2,Bo,Night,75.6,2.96,48.885,10.673
49,M2,Cy,Day,68.6,2.33,49.358,12.03
50,M2,Cy,Day,69.7,2.66,50.233,12.761
51,M2,Cy,Day,79.5,3.08,49.367,11.557
52,M2,Cy,Day,74.8,1.82,48.703,11.125
53,M2,Cy,Night,83.0,1.83,44.037,8.582
54,M2,Cy,Night,64.4,1.83,42.162,8.335
55,M2,Cy,Night,80.0,2.24,47.775,10.788
56,M2,Cy,Night,65.1,3.33,42.015,8.266
57,M2,Dee,Day,64.9,2.28,53.931,13.722
58,M2,Dee,Day,81.6,2.58,55.873,15.909
59,M2,Dee,Day,64.3,2.8,51.11,13.112
60,M2,Dee,Day,86.4,1.96,54.393,15.197
61,M2,Dee,Night,84.1,2.3,53.466,11.776
62,M2,Dee,Night,69.5,2.9,47.749,10.374
63,M2,Dee,Night,81.2,1.91,49.795,11.685
64,M2,Dee,Night,82.2,3.39,52.82,12.032
65,M3,Ann,Day,77.1,2.77,49.599,11.662
66,M3,Ann,Day,66.1,3.24,49.462,12.758
67,M3,Ann,Day,63.1,2.36,48.498,12.657
68,M3,Ann,Day,80.0,3.3,51.809,12.856
69,M3,Ann,Night,84.9,3.1,49.253,10.934
70,M3,Ann,Night,64.3,2.71,47.765,12.018
71,M3,Ann,Night,81.3,2.31,50.545,12.623
72,M3,Ann,Night,79.7,3.17,49.907,11.206
73,M3,Bo,Day,85.9,3.2,49.088,11.999
74,M3,Bo,Day,62.9,2.9,47.218,12.639
75,M3,Bo,Day,60.1,3.16,43.931,11.608
76,M3,Bo,Day,60.0,3.23,46.626,9.967
77,M3,Bo,Night,64.7,1.94,42.196,7.541
78,M3,Bo,Night,64.6,2.1,39.552,7.451
79,M3,Bo,Night,66.4,3.28,44.467,10.07
80,M3,Bo,Night,78.5,2.51,46.317,9.952
81,M3,Cy,Day,74.4,1.87,46.11,11.99
82,M3,Cy,Day,62.7,2.27,42.798,10.598
83,M3,Cy,Day,77.2,2.18,44.68,10.189
84,M3,Cy,Day,79.1,2.71,45.256,11.139
85,M3,Cy,Night,73.1,2.28,44.547,9.468
86,M3,Cy,Night,88.6,3.21,44.939,10.034
87,M3,Cy,Night,61.6,1.98,42.956,8.208
88,M3,Cy,Night,68.3,3.38,41.384,8.065
89,M3,Dee,Day,86.0,2.96,53.838,13.571
90,M3,Dee,Day,67.3,2.02,49.664,13.388
91,M3,Dee,Day,65.4,1.98,46.667,10.834
92,M3,Dee,Day,66.0,2.18,50.018,13.636
93,M3,Dee,Night,89.5,2.11,51.186,11.099
94,M3,Dee,Night,89.9,2.98,50.71,11.064
95,M3,Dee,Night,61.9,1.88,44.863,9.732
96,M3,Dee,Night,83.4,2.06,50.77,11.043
