plot_id,field,temperature_c,humidity_pct,yield_kg,plants,treatment,grade,pest_count,weed_count,yield_prev_kg,marketable,grade_band,sold_to,area_m2
P001,North,14,30,40.0,63,Control,Fail,1,2,36.39,No,Low,Processing,22.4
P002,South,14,40,43.55,67,Treated,Fail,4,5,45.11,No,Low,Processing,41.9
P003,East,14,50,45.62,52,Control,Fail,3,8,46.42,No,Low,Local,36.5
P004,West,14,60,47.92,57,Treated,Fail,2,4,44.79,No,Low,Processing,24.9
P005,North,14,70,51.72,60,Control,Fail,3,1,52.43,No,Low,Export,29.2
P006,South,14,80,51.52,65,Treated,Fail,2,4,47.19,No,Low,Export,26.0
P007,East,14,90,51.36,65,Control,Fail,0,5,49.06,No,Low,Processing,19.8
P008,West,16,30,45.27,57,Treated,Fail,1,5,38.38,No,Low,Local,24.4
P009,North,16,40,48.87,68,Control,Fail,1,4,44.96,No,Low,Export,20.6
P010,South,16,50,51.9,59,Treated,Fail,3,4,49.56,No,Low,Export,41.9
P011,East,16,60,55.85,60,Control,Fail,3,3,53.8,No,Low,Export,25.1
P012,West,16,70,55.24,68,Treated,Fail,1,3,48.15,No,Low,Local,24.6
P013,North,16,80,53.26,57,Control,Fail,0,3,49.88,No,Low,Local,39.6
P014,South,16,90,53.48,68,Treated,Fail,5,2,52.25,No,Low,Local,19.6
P015,East,18,30,48.17,66,Control,Fail,1,1,45.01,No,Low,Export,23.9
P016,West,18,40,53.28,62,Treated,Fail,4,3,52.59,No,Low,Export,43.1
P017,North,18,50,56.35,54,Control,Fail,3,5,48.48,No,Medium,Export,26.5
P018,South,18,60,53.51,60,Treated,Fail,6,2,47.98,No,Low,Export,40.0
P019,East,18,70,59.16,65,Control,Fail,2,2,54.91,No,Medium,Export,29.5
P020,West,18,80,61.37,62,Treated,Pass,3,4,58.44,Yes,Medium,Processing,44.3
P021,North,18,90,58.18,58,Control,Fail,2,4,53.59,No,Low,Local,28.5
P022,South,20,30,52.53,56,Treated,Fail,1,4,42.76,No,Low,Local,18.7
P023,East,20,40,54.38,68,Control,Fail,2,4,49.74,No,Low,Export,34.2
P024,West,20,50,61.76,63,Treated,Pass,2,2,59.92,No,Medium,Processing,33.9
P025,North,20,60,60.52,60,Control,Pass,1,3,57.35,No,Medium,Processing,38.5
P026,South,20,70,65.61,52,Treated,Pass,0,5,62.9,No,Medium,Export,22.2
P027,East,20,80,63.57,61,Control,Pass,6,2,63.59,No,Medium,Processing,37.3
P028,West,20,90,65.06,56,Treated,Pass,5,1,64.81,No,Medium,Export,38.4
P029,North,22,30,55.49,67,Control,Fail,7,2,54.5,No,Low,Local,34.5
P030,South,22,40,59.61,66,Treated,Fail,1,3,54.85,No,Medium,Export,35.9
P031,East,22,50,65.48,60,Control,Pass,0,6,63.91,Yes,Medium,Export,20.9
P032,West,22,60,66.98,53,Treated,Pass,1,1,63.16,Yes,Medium,Export,24.2
P033,North,22,70,67.2,62,Control,Pass,4,3,60.66,Yes,Medium,Processing,42.2
P034,South,22,80,71.86,66,Treated,Pass,2,3,71.96,Yes,High,Export,31.0
P035,East,22,90,69.48,53,Control,Pass,4,3,63.53,Yes,High,Export,27.0
P036,West,24,30,58.15,53,Treated,Fail,1,3,55.58,Yes,Low,Local,36.6
P037,North,24,40,63.25,55,Control,Pass,1,6,60.91,No,Medium,Local,20.7
P038,South,24,50,66.77,54,Treated,Pass,3,4,67.64,Yes,Medium,Processing,22.0
P039,East,24,60,67.77,61,Control,Pass,2,1,66.93,No,Medium,Export,37.6
P040,West,24,70,72.48,68,Treated,Pass,1,1,69.91,No,Medium,Export,18.1
P041,North,24,80,69.15,59,Control,Pass,1,0,67.71,Yes,Medium,Processing,25.5
P042,South,24,90,69.67,62,Treated,Pass,5,6,65.17,Yes,High,Local,19.0
P043,East,26,30,60.41,61,Control,Pass,4,2,55.89,No,Medium,Processing,38.5
P044,West,26,40,63.1,59,Treated,Pass,5,5,63.78,Yes,Medium,Local,29.7
P045,North,26,50,67.17,66,Control,Pass,3,3,64.24,No,Medium,Export,24.4
P046,South,26,60,72.35,53,Treated,Pass,4,4,66.92,Yes,High,Local,33.5
P047,East,26,70,69.11,52,Control,Pass,5,4,66.82,Yes,High,Export,38.4
P048,West,26,80,73.95,63,Treated,Pass,2,1,68.37,No,High,Export,29.8
P049,North,26,90,68.78,53,Control,Pass,4,4,69.23,Yes,Medium,Export,26.7
P050,South,28,30,61.65,63,Treated,Pass,2,2,52.44,No,Low,Processing,19.5
P051,East,28,40,68.45,60,Control,Pass,0,1,65.79,No,Medium,Export,25.1
P052,West,28,50,68.59,68,Treated,Pass,2,4,64.45,No,Medium,Local,32.7
P053,North,28,60,71.0,56,Control,Pass,2,5,67.71,No,High,Export,30.6
P054,South,28,70,76.49,54,Treated,Pass,4,4,65.38,Yes,High,Local,40.1
P055,East,28,80,73.48,56,Control,Pass,2,2,71.27,Yes,High,Processing,23.9
P056,West,28,90,75.15,61,Treated,Pass,4,2,70.44,Yes,High,Export,42.6
P057,North,30,30,62.8,68,Control,Pass,6,6,60.3,No,Medium,Local,44.4
P058,South,30,40,64.91,62,Treated,Pass,1,3,63.66,Yes,Medium,Local,24.0
P059,East,30,50,70.42,68,Control,Pass,1,2,66.62,No,High,Local,19.4
P060,West,30,60,75.27,58,Treated,Pass,4,4,72.01,Yes,High,Export,23.4
P061,North,30,70,75.95,68,Control,Pass,4,1,64.5,Yes,High,Local,29.6
P062,South,30,80,76.88,66,Treated,Pass,8,1,74.57,Yes,High,Export,31.1
P063,East,30,90,74.96,60,Control,Pass,1,2,67.99,Yes,High,Export,25.8
P064,West,32,30,63.75,57,Treated,Pass,3,2,61.98,Yes,Medium,Export,28.2
P065,North,32,40,69.03,64,Control,Pass,4,3,62.26,Yes,Medium,Export,24.2
P066,South,32,50,71.85,58,Treated,Pass,4,6,68.03,Yes,High,Export,27.2
P067,East,32,60,70.28,59,Control,Pass,4,4,71.89,Yes,Medium,Processing,41.1
P068,West,32,70,74.75,68,Treated,Pass,0,2,70.48,Yes,High,Export,27.9
P069,North,32,80,74.46,53,Control,Pass,8,2,67.36,Yes,High,Export,43.7
P070,South,32,90,80.85,60,Treated,Pass,3,3,76.51,Yes,High,Export,28.8
