lot,batch,sample,purity_pct
L1,B1,S1,96.066
L1,B1,S2,96.568
L1,B1,S3,97.251
L1,B1,S4,96.683
L1,B1,S5,96.459
L1,B2,S1,95.669
L1,B2,S2,95.6
L1,B2,S3,95.607
L1,B2,S4,95.17
L1,B2,S5,95.253
L1,B3,S1,96.332
L1,B3,S2,96.909
L1,B3,S3,96.883
L1,B3,S4,96.726
L1,B3,S5,96.852
L2,B1,S1,97.111
L2,B1,S2,97.172
L2,B1,S3,97.999
L2,B1,S4,97.848
L2,B1,S5,98.101
L2,B2,S1,100.195
L2,B2,S2,100.419
L2,B2,S3,100.413
L2,B2,S4,99.381
L2,B2,S5,100.174
L2,B3,S1,96.234
L2,B3,S2,96.093
L2,B3,S3,96.936
L2,B3,S4,95.317
L2,B3,S5,95.489
L3,B1,S1,101.907
L3,B1,S2,102.322
L3,B1,S3,101.786
L3,B1,S4,101.392
L3,B1,S5,101.418
L3,B2,S1,102.385
L3,B2,S2,102.646
L3,B2,S3,102.001
L3,B2,S4,102.119
L3,B2,S5,103.21
L3,B3,S1,106.112
L3,B3,S2,104.989
L3,B3,S3,105.585
L3,B3,S4,105.852
L3,B3,S5,105.986
L4,B1,S1,99.286
L4,B1,S2,99.301
L4,B1,S3,99.443
L4,B1,S4,99.716
L4,B1,S5,99.07
L4,B2,S1,98.954
L4,B2,S2,98.774
L4,B2,S3,98.705
L4,B2,S4,98.889
L4,B2,S5,99.178
L4,B3,S1,97.73
L4,B3,S2,97.068
L4,B3,S3,97.768
L4,B3,S4,98.741
L4,B3,S5,98.059
