batch,month,potency_pct
Batch 1,0,100.41
Batch 1,0,100.83
Batch 1,3,98.47
Batch 1,3,98.22
Batch 1,6,96.11
Batch 1,6,96.98
Batch 1,9,95.07
Batch 1,9,93.79
Batch 1,12,92.6
Batch 1,12,93.9
Batch 1,18,89.45
Batch 1,18,89.58
Batch 1,24,84.44
Batch 1,24,85.55
Batch 2,0,99.92
Batch 2,0,99.63
Batch 2,3,97.43
Batch 2,3,97.72
Batch 2,6,95.74
Batch 2,6,94.81
Batch 2,9,93.12
Batch 2,9,92.36
Batch 2,12,92.2
Batch 2,12,91.37
Batch 2,18,87.44
Batch 2,18,87.68
Batch 2,24,82.57
Batch 2,24,82.77
Batch 3,0,100.51
Batch 3,0,100.79
Batch 3,3,97.97
Batch 3,3,99.2
Batch 3,6,97.22
Batch 3,6,96.99
Batch 3,9,94.95
Batch 3,9,95.02
Batch 3,12,92.88
Batch 3,12,92.94
Batch 3,18,88.65
Batch 3,18,88.79
Batch 3,24,84.68
Batch 3,24,84.88
